Games	% won
1252		0.809904
1253		0.810056
1254		0.810207
1255		0.810359
1256		0.809713
1257		0.809865
1258		0.810016
1259		0.810167
1260		0.810317
1261		0.809675
1262		0.809826
1263		0.809976
1264		0.809335
1265		0.809486
1266		0.809637
1267		0.809787
1268		0.809937
1269		0.810087
1270		0.810236
1271		0.809599
1272		0.809748
1273		0.809898
1274		0.809262
1275		0.809412
1276		0.809561
1277		0.809710
1278		0.809859
1279		0.810008
1280		0.810156
1281		0.810304
1282		0.810452
1283		0.810600
1284		0.810748
1285		0.810117
1286		0.810264
1287		0.810412
1288		0.810559
1289		0.809930
1290		0.810078
1291		0.810225
1292		0.810372
1293		0.810518
1294		0.810665
1295		0.810811
1296		0.810957
1297		0.811103
1298		0.811248
1299		0.811393
1300		0.811538
1301		0.811683
1302		0.811828
1303		0.811205
1304		0.811350
1305		0.811494
1306		0.811639
1307		0.811783
1308		0.811162
1309		0.811306
1310		0.811450
1311		0.811594
1312		0.810976
1313		0.811120
1314		0.810502
1315		0.809886
1316		0.810030
1317		0.810175
1318		0.810319
1319		0.810462
1320		0.810606
1321		0.809992
1322		0.810136
1323		0.810280
1324		0.810423
1325		0.810566
1326		0.810709
1327		0.810852
1328		0.810994
1329		0.810384
1330		0.810526
1331		0.809917
1332		0.809309
1333		0.809452
1334		0.809595
1335		0.809738
1336		0.809880
1337		0.810022
1338		0.810164
1339		0.810306
1340		0.810448
1341		0.810589
1342		0.810730
1343		0.810871
1344		0.811012
1345		0.810409
1346		0.810550
1347		0.810690
1348		0.810831
1349		0.810971
1350		0.811111
1351		0.811251
1352		0.811391
1353		0.811530
1354		0.811669
1355		0.811808
1356		0.811947
1357		0.811349
1358		0.811487
1359		0.811626
1360		0.811765
1361		0.811903
1362		0.812041
1363		0.812179
1364		0.812317
1365		0.812454
1366		0.812592
1367		0.812729
1368		0.812865
1369		0.813002
1370		0.813139
1371		0.812546
1372		0.812682
1373		0.812819
1374		0.812955
1375		0.812364
1376		0.812500
1377		0.812636
1378		0.812772
1379		0.812183
1380		0.811594
1381		0.811731
1382		0.811143
1383		0.810557
1384		0.810694
1385		0.810830
1386		0.810245
1387		0.810382
1388		0.810519
1389		0.810655
1390		0.810791
1391		0.810208
1392		0.810345
1393		0.810481
1394		0.810617
1395		0.810753
1396		0.810172
1397		0.810308
1398		0.810443
1399		0.810579
1400		0.810714
1401		0.810849
1402		0.810984
1403		0.811119
1404		0.811254
1405		0.810676
1406		0.810811
1407		0.810945
1408		0.811080
1409		0.811214
1410		0.811348
1411		0.811481
1412		0.811615
1413		0.811748
1414		0.811881
1415		0.812014
1416		0.812147
1417		0.811574
1418		0.811707
1419		0.811839
1420		0.811268
1421		0.811400
1422		0.810830
1423		0.810963
1424		0.811096
1425		0.811228
1426		0.811360
1427		0.811493
1428		0.811625
1429		0.811756
1430		0.811888
1431		0.811321
1432		0.810754
1433		0.810886
1434		0.811018
1435		0.811150
1436		0.810585
1437		0.810717
1438		0.810848
1439		0.810980
1440		0.811111
1441		0.811242
1442		0.811373
1443		0.811504
1444		0.811634
1445		0.811073
1446		0.811203
1447		0.811334
1448		0.811464
1449		0.811594
1450		0.811724
1451		0.811854
1452		0.811983
1453		0.812113
1454		0.811554
1455		0.811684
1456		0.811813
1457		0.811256
1458		0.810700
1459		0.810829
1460		0.810959
1461		0.810404
1462		0.810534
1463		0.809979
1464		0.810109
1465		0.810239
1466		0.810368
1467		0.810498
1468		0.810627
1469		0.810756
1470		0.810204
1471		0.810333
1472		0.809783
1473		0.809912
1474		0.809362
1475		0.809492
1476		0.809621
1477		0.809749
1478		0.809878
1479		0.810007
1480		0.809459
1481		0.809588
1482		0.809717
1483		0.809845
1484		0.809973
1485		0.810101
1486		0.810229
1487		0.810356
1488		0.809812
1489		0.809268
1490		0.809396
1491		0.809524
1492		0.809651
1493		0.809779
1494		0.809906
1495		0.810033
1496		0.810160
1497		0.810287
1498		0.810414
1499		0.809873
1500		0.810000
1501		0.810127
1502		0.810253
1503		0.810379
1504		0.810505
1505		0.810631
1506		0.810757
1507		0.810883
1508		0.811008
1509		0.811133
1510		0.811258
1511		0.811383
1512		0.811508
1513		0.811633
1514		0.811757
1515		0.811881
1516		0.812005
1517		0.811470
1518		0.810935
1519		0.811060
1520		0.811184
1521		0.811308
1522		0.810775
1523		0.810900
1524		0.810367
1525		0.810492
1526		0.809961
1527		0.810085
1528		0.810209
1529		0.809680
1530		0.809804
1531		0.809928
1532		0.809399
1533		0.809524
1534		0.809648
1535		0.809772
1536		0.809896
1537		0.810020
1538		0.810143
1539		0.809617
1540		0.809740
1541		0.809864
1542		0.809987
1543		0.810110
1544		0.810233
1545		0.810356
1546		0.810479
1547		0.810601
1548		0.810078
1549		0.810200
1550		0.810323
1551		0.809800
1552		0.809923
1553		0.810045
1554		0.810167
1555		0.810289
1556		0.810411
1557		0.810533
1558		0.810655
1559		0.810776
1560		0.810897
1561		0.811019
1562		0.811140
1563		0.810621
1564		0.810742
1565		0.810863
1566		0.810345
1567		0.810466
1568		0.810587
1569		0.810070
1570		0.810191
1571		0.810312
1572		0.809796
1573		0.809917
1574		0.810038
1575		0.809524
1576		0.809645
1577		0.809765
1578		0.809886
1579		0.810006
1580		0.810127
1581		0.810247
1582		0.810367
1583		0.809855
1584		0.809343
1585		0.809464
1586		0.809584
1587		0.809704
1588		0.809824
1589		0.809943
1590		0.810063
1591		0.810182
1592		0.809673
1593		0.809793
1594		0.809912
1595		0.810031
1596		0.810150
1597		0.810269
1598		0.810388
1599		0.809881
1600		0.810000
1601		0.810119
1602		0.810237
1603		0.810356
1604		0.810474
1605		0.809969
1606		0.809465
1607		0.808961
1608		0.809080
1609		0.809198
1610		0.809317
1611		0.809435
1612		0.809553
1613		0.809671
1614		0.809789
1615		0.809288
1616		0.809406
1617		0.809524
1618		0.809642
1619		0.809759
1620		0.809877
1621		0.809994
1622		0.810111
1623		0.810228
1624		0.809729
1625		0.809846
1626		0.809963
1627		0.810080
1628		0.810197
1629		0.810313
1630		0.810429
1631		0.810546
1632		0.810662
1633		0.810778
1634		0.810894
1635		0.811009
1636		0.811125
1637		0.811240
1638		0.811355
1639		0.811470
1640		0.811585
1641		0.811700
1642		0.811815
1643		0.811929
1644		0.812044
1645		0.812158
1646		0.812272
1647		0.812386
1648		0.812500
1649		0.812614
1650		0.812727
1651		0.812841
1652		0.812954
1653		0.813067
1654		0.813180
1655		0.813293
1656		0.812802
1657		0.812915
1658		0.813028
1659		0.813140
1660		0.813253
1661		0.813365
1662		0.813478
1663		0.813590
1664		0.813702
1665		0.813814
1666		0.813926
1667		0.813437
1668		0.813549
1669		0.813661
1670		0.813772
1671		0.813285
1672		0.813397
1673		0.813509
1674		0.813023
1675		0.813134
1676		0.813246
1677		0.812761
1678		0.812277
1679		0.812388
1680		0.812500
1681		0.812612
1682		0.812723
1683		0.812834
1684		0.812945
1685		0.813056
1686		0.812574
1687		0.812092
1688		0.812204
1689		0.812315
1690		0.812426
1691		0.812537
1692		0.812648
1693		0.812168
1694		0.812279
1695		0.812389
1696		0.812500
1697		0.812610
1698		0.812132
1699		0.811654
1700		0.811176
1701		0.811287
1702		0.810811
1703		0.810335
1704		0.809859
1705		0.809971
1706		0.810082
1707		0.810193
1708		0.810304
1709		0.810415
1710		0.810526
1711		0.810053
1712		0.809579
1713		0.809691
1714		0.809802
1715		0.809913
1716		0.809441
1717		0.809552
1718		0.809080
1719		0.809191
1720		0.809302
1721		0.809413
1722		0.809524
1723		0.809634
1724		0.809745
1725		0.809855
1726		0.809965
1727		0.810075
1728		0.810185
1729		0.810295
1730		0.810405
1731		0.810514
1732		0.810624
1733		0.810733
1734		0.810265
1735		0.809798
1736		0.809908
1737		0.810017
1738		0.810127
1739		0.810236
1740		0.810345
1741		0.810454
1742		0.810563
1743		0.810671
1744		0.810780
1745		0.810888
1746		0.810997
1747		0.811105
1748		0.811213
1749		0.811321
1750		0.811429
1751		0.811536
1752		0.811644
1753		0.811751
1754		0.811859
1755		0.811966
1756		0.812073
1757		0.812180
1758		0.812287
1759		0.812393
1760		0.812500
1761		0.812039
1762		0.812145
1763		0.812252
1764		0.812358
1765		0.812465
1766		0.812005
1767		0.812111
1768		0.812217
1769		0.811758
1770		0.811864
1771		0.811971
1772		0.812077
1773		0.812183
1774		0.812289
1775		0.812394
1776		0.812500
1777		0.812043
1778		0.811586
1779		0.811130
1780		0.811236
1781		0.811342
1782		0.811448
1783		0.811554
1784		0.811099
1785		0.811204
1786		0.810750
1787		0.810856
1788		0.810962
1789		0.811068
1790		0.811173
1791		0.811279
1792		0.811384
1793		0.811489
1794		0.811594
1795		0.811142
1796		0.811247
1797		0.811352
1798		0.811457
1799		0.811562
1800		0.811667
1801		0.811216
1802		0.811321
1803		0.811425
1804		0.811530
1805		0.811634
1806		0.811739
1807		0.811843
1808		0.811947
1809		0.812051
1810		0.811602
1811		0.811154
1812		0.810706
1813		0.810259
1814		0.810364
1815		0.810468
1816		0.810022
1817		0.810127
1818		0.810231
1819		0.810335
1820		0.810440
1821		0.810544
1822		0.810648
1823		0.810203
1824		0.809759
1825		0.809315
1826		0.809419
1827		0.809524
1828		0.809628
1829		0.809732
1830		0.809836
1831		0.809394
1832		0.809498
1833		0.809602
1834		0.809706
1835		0.809809
1836		0.809913
1837		0.810016
1838		0.810120
1839		0.809679
1840		0.809783
1841		0.809886
1842		0.809446
1843		0.809550
1844		0.809653
1845		0.809756
1846		0.809317
1847		0.809421
1848		0.809524
1849		0.809086
1850		0.809189
1851		0.809292
1852		0.809395
1853		0.809498
1854		0.809601
1855		0.809164
1856		0.809267
1857		0.809370
1858		0.808934
1859		0.809037
1860		0.809140
1861		0.809242
1862		0.809345
1863		0.809447
1864		0.809549
1865		0.809651
1866		0.809753
1867		0.809855
1868		0.809957
1869		0.810059
1870		0.810160
1871		0.810262
1872		0.810363
